"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0373883","Sun May 12 17:20:26 2013","Sun May 12 17:20:26 2013","","Halloween","Feature Film","Rob Zombie","5","6.1","109","2007","horror","87304","2007-08-31","http://www.imdb.com/title/tt0373883/"
"2","tt1520211","Tue Apr 23 19:53:06 2013","Tue Apr 23 19:53:06 2013","","The Walking Dead","TV Series","","7","8.6","44","2010","drama, horror, sci_fi, thriller","622063","2010-10-31","http://www.imdb.com/title/tt1520211/"
"3","tt1156398","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Zombieland","Feature Film","Ruben Fleischer","8","7.7","88","2009","adventure, comedy, horror, sci_fi","380809","2009-09-25","http://www.imdb.com/title/tt1156398/"
"4","tt1259521","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Cabin in the Woods","Feature Film","Drew Goddard","6","7.0","95","2012","fantasy, horror, mystery, thriller","273058","2012-03-09","http://www.imdb.com/title/tt1259521/"
"5","tt1922777","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Sinister","Feature Film","Scott Derrickson","7","6.8","110","2012","horror, mystery","151348","2012-03-11","http://www.imdb.com/title/tt1922777/"
"6","tt2243537","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","A Haunted House","Feature Film","Michael Tiddes","","5.1","86","2013","comedy, fantasy","34178","2013-01-11","http://www.imdb.com/title/tt2243537/"
"7","tt0816711","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","World War Z","Feature Film","Marc Forster","3","7.0","116","2013","action, adventure, horror, sci_fi, thriller","458622","2013-06-02","http://www.imdb.com/title/tt0816711/"
"8","tt1731697","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Lords of Salem","Feature Film","Rob Zombie","","5.1","101","2012","horror, thriller","20034","2012-09-10","http://www.imdb.com/title/tt1731697/"
"9","tt2099556","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Antiviral","Feature Film","Brandon Cronenberg","","5.7","108","2012","horror, sci_fi, thriller","9248","2012-05-19","http://www.imdb.com/title/tt2099556/"
"10","tt1934458","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Under the Bed","Feature Film","Steven C. Miller","","4.6","87","2012","horror","1963","2012-07-19","http://www.imdb.com/title/tt1934458/"
"11","tt0083907","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Evil Dead","Feature Film","Sam Raimi","5","7.6","85","1981","fantasy, horror","139244","1981-10-15","http://www.imdb.com/title/tt0083907/"
"12","tt1288558","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Evil Dead","Feature Film","Fede Alvarez","","6.5","91","2013","fantasy, horror","123440","2013-03-08","http://www.imdb.com/title/tt1288558/"
"13","tt2023587","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Mama","Feature Film","Andy Muschietti","5","6.2","100","2013","fantasy, horror","132532","2013-01-17","http://www.imdb.com/title/tt2023587/"
"14","tt2387433","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Dark Skies","Feature Film","Scott Stewart","5","6.3","97","2013","horror, sci_fi, thriller","56521","2013-02-21","http://www.imdb.com/title/tt2387433/"
"15","tt1457765","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Haunting in Connecticut 2: Ghosts of Georgia","Feature Film","Tom Elkins","","5.3","101","2013","drama, horror, mystery, thriller","12987","2013-02-01","http://www.imdb.com/title/tt1457765/"
"16","tt1428538","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Hansel & Gretel: Witch Hunters","Feature Film","Tommy Wirkola","3","6.1","88","2013","action, fantasy, horror","158081","2013-01-17","http://www.imdb.com/title/tt1428538/"
"17","tt2184339","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Purge","Feature Film","James DeMonaco","7","5.6","85","2013","horror, thriller","132064","2013-05-02","http://www.imdb.com/title/tt2184339/"
"18","tt0078748","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Alien","Feature Film","Ridley Scott","8","8.5","117","1979","horror, sci_fi","555518","1979-05-25","http://www.imdb.com/title/tt0078748/"
"19","tt0365748","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Shaun of the Dead","Feature Film","Edgar Wright","7","8.0","99","2004","comedy, horror","391055","2004-03-29","http://www.imdb.com/title/tt0365748/"
"20","tt1262416","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Scream 4","Feature Film","Wes Craven","","6.2","111","2011","horror, mystery","103008","2011-04-11","http://www.imdb.com/title/tt1262416/"
