"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0063522","Tue Oct 23 00:43:23 2012","Tue Oct 23 00:43:23 2012","","Rosemary's Baby","Feature Film","Roman Polanski","8.0","136","1968","drama, horror","138836","1968-06-12","http://www.imdb.com/title/tt0063522/"
"2","tt0054215","Tue Oct 23 00:43:41 2012","Tue Oct 23 00:43:41 2012","","Psycho","Feature Film","Alfred Hitchcock","8.5","109","1960","horror, mystery, thriller","415912","1960-06-16","http://www.imdb.com/title/tt0054215/"
"3","tt0070047","Tue Oct 23 00:43:57 2012","Tue Oct 23 00:43:57 2012","","The Exorcist","Feature Film","William Friedkin","8.0","122","1973","horror","281169","1973-12-26","http://www.imdb.com/title/tt0070047/"
"4","tt0081505","Tue Oct 23 00:44:04 2012","Tue Oct 23 00:44:04 2012","","The Shining","Feature Film","Stanley Kubrick","8.4","146","1980","drama, horror","600548","1980-05-23","http://www.imdb.com/title/tt0081505/"
"5","tt0092991","Tue Oct 23 00:44:28 2012","Tue Oct 23 00:44:28 2012","","Evil Dead II","Feature Film","Sam Raimi","7.8","84","1987","comedy, fantasy, horror, thriller","111920","1987-03-13","http://www.imdb.com/title/tt0092991/"
"6","tt0077651","Tue Oct 23 00:45:11 2012","Tue Oct 23 00:45:11 2012","","Halloween","Feature Film","John Carpenter","7.9","91","1978","horror, thriller","155869","1978-10-25","http://www.imdb.com/title/tt0077651/"
"7","tt0084787","Tue Oct 23 00:44:48 2012","Tue Oct 23 00:44:48 2012","","The Thing","Feature Film","John Carpenter","8.2","109","1982","horror, sci_fi","253981","1982-06-25","http://www.imdb.com/title/tt0084787/"
"8","tt1127180","Tue Oct 23 00:44:42 2012","Tue Oct 23 00:44:42 2012","","Drag Me to Hell","Feature Film","Sam Raimi","6.6","99","2009","horror, thriller","156652","2009-03-15","http://www.imdb.com/title/tt1127180/"
"9","tt0075005","Tue Oct 23 00:45:19 2012","Tue Oct 23 00:45:19 2012","","The Omen","Feature Film","Richard Donner","7.6","111","1976","fantasy, horror, mystery","79941","1976-06-06","http://www.imdb.com/title/tt0075005/"
"10","tt0862856","Tue Oct 23 00:45:30 2012","Tue Oct 23 00:45:30 2012","","Trick 'r Treat","Feature Film","Michael Dougherty","6.8","82","2007","fantasy, horror, thriller","62249","2007-12-09","http://www.imdb.com/title/tt0862856/"
"11","tt0060550","Tue Oct 23 00:45:44 2012","Tue Oct 23 00:45:44 2012","","It's the Great Pumpkin, Charlie Brown","TV Special","Bill Melendez","8.2","25","1966","animation, comedy, family","10467","1966-10-27","http://www.imdb.com/title/tt0060550/"
"12","tt0051850","Tue Oct 23 00:45:59 2012","Tue Oct 23 00:45:59 2012","","The Legend of Sleepy Hollow","Short Film","Clyde Geronimi, Jack Kinney","7.9","34","1949","animation, comedy, family, horror","2734","1949","http://www.imdb.com/title/tt0051850/"
"13","tt0368447","Tue Oct 23 00:46:47 2012","Tue Oct 23 00:46:47 2012","","The Village","Feature Film","M. Night Shyamalan","6.5","108","2004","drama, mystery, romance, thriller","192145","2004-07-26","http://www.imdb.com/title/tt0368447/"
"14","tt0073747","Tue Oct 23 01:27:33 2012","Tue Oct 23 01:27:33 2012","","The Stepford Wives","Feature Film","Bryan Forbes","6.9","115","1975","horror, mystery, sci_fi, thriller","12055","1975-02-12","http://www.imdb.com/title/tt0073747/"
"15","tt0056869","Tue Oct 23 01:20:13 2012","Tue Oct 23 01:20:13 2012","","The Birds","Feature Film","Alfred Hitchcock","7.7","119","1963","horror","127143","1963-03-28","http://www.imdb.com/title/tt0056869/"
"16","tt0013442","Tue Oct 23 01:10:52 2012","Tue Oct 23 01:10:52 2012","","Nosferatu","Feature Film","F.W. Murnau","8.0","94","1922","fantasy, horror","67566","1922-02-17","http://www.imdb.com/title/tt0013442/"
"17","tt0089175","Tue Oct 23 00:47:32 2012","Tue Oct 23 00:47:32 2012","","Fright Night","Feature Film","Tom Holland","7.1","106","1985","fantasy, horror, thriller","41904","1985-08-02","http://www.imdb.com/title/tt0089175/"
"18","tt0107688","Tue Oct 23 00:46:15 2012","Tue Oct 23 00:46:15 2012","","The Nightmare Before Christmas","Feature Film","Henry Selick","8.0","76","1993","animation, family, fantasy, musical","219445","1993-10-09","http://www.imdb.com/title/tt0107688/"
"19","tt0087332","Tue Oct 23 00:46:33 2012","Tue Oct 23 00:46:33 2012","","Ghostbusters","Feature Film","Ivan Reitman","7.8","105","1984","adventure, comedy, fantasy","261064","1984-06-07","http://www.imdb.com/title/tt0087332/"
"20","tt0312004","Wed Oct 24 12:01:57 2012","Wed Oct 24 12:01:57 2012","","The Curse of the Were-Rabbit","Feature Film","Steve Box, Nick Park","7.5","85","2005","animation, comedy, family, mystery, sci_fi","97138","2005-09-04","http://www.imdb.com/title/tt0312004/"
"21","tt0162661","Tue Oct 23 01:17:09 2012","Tue Oct 23 01:17:09 2012","","Sleepy Hollow","Feature Film","Tim Burton","7.4","105","1999","drama, horror, mystery","263994","1999-11-17","http://www.imdb.com/title/tt0162661/"
"22","tt0167404","Tue Oct 23 00:47:06 2012","Tue Oct 23 00:47:06 2012","","The Sixth Sense","Feature Film","M. Night Shyamalan","8.1","107","1999","drama, mystery, thriller","695785","1999-08-02","http://www.imdb.com/title/tt0167404/"
"23","tt0397101","Tue Oct 23 00:46:56 2012","Tue Oct 23 00:46:56 2012","","The Skeleton Key","Feature Film","Iain Softley","6.5","104","2005","horror, mystery, thriller","86453","2005-07-29","http://www.imdb.com/title/tt0397101/"
"24","tt0404032","Tue Oct 23 00:48:05 2012","Tue Oct 23 00:48:05 2012","","The Exorcism of Emily Rose","Feature Film","Scott Derrickson","6.7","119","2005","drama, horror, thriller","95365","2005-09-01","http://www.imdb.com/title/tt0404032/"
"25","tt0114852","Tue Oct 23 00:48:37 2012","Tue Oct 23 00:48:37 2012","","Village of the Damned","Feature Film","John Carpenter","5.6","99","1995","horror, sci_fi, thriller","21512","1995-04-28","http://www.imdb.com/title/tt0114852/"
"26","tt0072431","Wed Oct 31 06:09:39 2012","Wed Oct 31 06:09:39 2012","","Young Frankenstein","Feature Film","Mel Brooks","8.0","106","1974","comedy","111714","1974-12-15","http://www.imdb.com/title/tt0072431/"
"27","tt0021884","Fri Sep 27 14:44:22 2013","Fri Sep 27 14:44:22 2013","","Frankenstein","Feature Film","James Whale","8.0","70","1931","drama, horror, sci_fi","47753","1931-11-21","http://www.imdb.com/title/tt0021884/"
"28","tt0084516","Fri Sep 27 14:56:03 2013","Fri Sep 27 14:56:03 2013","","Poltergeist","Feature Film","Tobe Hooper","7.4","114","1982","fantasy, horror","103679","1982-06-04","http://www.imdb.com/title/tt0084516/"
"29","tt0093560","Tue Oct 23 00:52:23 2012","Tue Oct 23 00:52:23 2012","","The Monster Squad","Feature Film","Fred Dekker","7.2","82","1987","action, comedy, fantasy, horror","19309","1987-08-14","http://www.imdb.com/title/tt0093560/"
"30","tt0051622","Fri Sep 27 14:55:16 2013","Fri Sep 27 14:55:16 2013","","The Fly","Feature Film","Kurt Neumann","7.1","94","1958","drama, horror, sci_fi","15264","1958-07-16","http://www.imdb.com/title/tt0051622/"
"31","tt0094721","Tue Oct 23 01:14:06 2012","Tue Oct 23 01:14:06 2012","","Beetlejuice","Feature Film","Tim Burton","7.5","92","1988","comedy, fantasy","186600","1988-03-29","http://www.imdb.com/title/tt0094721/"
"32","tt0074285","Fri Sep 27 14:50:35 2013","Fri Sep 27 14:50:35 2013","","Carrie","Feature Film","Brian De Palma","7.4","98","1976","drama, fantasy, horror","124218","1976-11-03","http://www.imdb.com/title/tt0074285/"
"33","tt0078767","Mon Oct 21 10:02:59 2013","Mon Oct 21 10:02:59 2013","","The Amityville Horror","Feature Film","Stuart Rosenberg","6.2","117","1979","drama, horror","27317","1979-07-27","http://www.imdb.com/title/tt0078767/"
"34","tt0091369","Thu Oct 25 05:04:42 2012","Thu Oct 25 05:04:42 2012","","Labyrinth","Feature Film","Jim Henson","7.4","101","1986","adventure, family, fantasy, musical","93807","1986-06-27","http://www.imdb.com/title/tt0091369/"
"35","tt0093777","Fri Sep 27 14:56:39 2013","Fri Sep 27 14:56:39 2013","","Prince of Darkness","Feature Film","John Carpenter","6.7","102","1987","horror","24790","1987-10-23","http://www.imdb.com/title/tt0093777/"
"36","tt0091419","Tue Oct 23 01:24:11 2012","Tue Oct 23 01:24:11 2012","","Little Shop of Horrors","Feature Film","Frank Oz","6.9","94","1986","comedy, musical, sci_fi","48716","1986-12-19","http://www.imdb.com/title/tt0091419/"
"37","tt0085333","Tue Oct 23 00:48:45 2012","Tue Oct 23 00:48:45 2012","","Christine","Feature Film","John Carpenter","6.6","110","1983","action, drama, horror, mystery, thriller","49465","1983-12-09","http://www.imdb.com/title/tt0085333/"
"38","tt0080749","Tue Oct 23 01:17:35 2012","Tue Oct 23 01:17:35 2012","","The Fog","Feature Film","John Carpenter","6.8","89","1980","fantasy, horror","45882","1980-01","http://www.imdb.com/title/tt0080749/"
"39","tt0073629","Tue Oct 23 01:24:24 2012","Tue Oct 23 01:24:24 2012","","The Rocky Horror Picture Show","Feature Film","Jim Sharman","7.4","100","1975","comedy, musical","101493","1975-08-14","http://www.imdb.com/title/tt0073629/"
"40","tt0079844","Tue Oct 23 01:17:57 2012","Tue Oct 23 01:17:57 2012","","Salem's Lot","TV Series","Tobe Hooper","6.8","184","1979","fantasy, horror","14272","1979-11-17","http://www.imdb.com/title/tt0079844/"
"41","tt0111742","Thu Oct 25 05:29:03 2012","Thu Oct 25 05:29:03 2012","","Wolf","Feature Film","Mike Nichols","6.2","125","1994","drama, horror, romance, thriller","43241","1994-06-17","http://www.imdb.com/title/tt0111742/"
"42","tt0113409","Tue Oct 23 00:47:42 2012","Tue Oct 23 00:47:42 2012","","In the Mouth of Madness","Feature Film","John Carpenter","7.2","95","1994","fantasy, horror, mystery, thriller","42710","1994-12","http://www.imdb.com/title/tt0113409/"
