"position","const","created","modified","description","Title","Title type","Directors","melissatinkabell2222 rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt1369647","Tue Apr 22 07:53:45 2014","Tue Apr 22 07:53:54 2014","","Christmas Angel","Feature Film","Brian Brough","10","6.6","87","2009","comedy, drama, romance","717","2009-11-10","http://www.imdb.com/title/tt1369647/"
"2","tt0938666","Tue Apr 22 08:52:32 2014","Tue Apr 22 08:52:32 2014","","Holiday in Handcuffs","TV Movie","Ron Underwood","10","6.4","86","2007","comedy, crime, family, romance","4281","2007-12-09","http://www.imdb.com/title/tt0938666/"
"3","tt0110527","Tue Apr 22 08:45:07 2014","Tue Apr 22 08:45:07 2014","","Miracle on 34th Street","Feature Film","Les Mayfield","","6.4","114","1994","family, fantasy","21175","1994-11-18","http://www.imdb.com/title/tt0110527/"
"4","tt0319343","Tue Apr 22 08:33:39 2014","Tue Apr 22 08:33:39 2014","","Elf","Feature Film","Jon Favreau","","6.9","97","2003","comedy, family, fantasy, romance","146487","2003-10-09","http://www.imdb.com/title/tt0319343/"
"5","tt3003470","Tue Apr 22 08:35:19 2014","Tue Apr 22 08:35:19 2014","","Christmas for a Dollar","Feature Film","John Lyde","","7.2","101","2013","drama, family","168","2013-12-15","http://www.imdb.com/title/tt3003470/"
"6","tt2355762","Tue Apr 22 08:35:00 2014","Tue Apr 22 08:35:00 2014","","Christmas with Holly","TV Movie","Allan Arkush","","7.1","88","2012","drama, family","1620","2012-12-09","http://www.imdb.com/title/tt2355762/"
"7","tt0405615","Tue Apr 22 08:37:46 2014","Tue Apr 22 08:37:46 2014","","The 12 Dogs of Christmas","Feature Film","Kieth Merrill","","5.5","102","2005","family","641","2005-11-01","http://www.imdb.com/title/tt0405615/"
"8","tt0105606","Tue Apr 22 07:55:10 2014","Tue Apr 22 07:55:10 2014","","To Grandmother's House We Go","TV Movie","Jeff Franklin","","5.8","96","1992","adventure, family, comedy","1859","1992-12-06","http://www.imdb.com/title/tt0105606/"
"9","tt1544572","Tue Apr 22 08:38:48 2014","Tue Apr 22 08:38:48 2014","","The Search for Santa Paws","Video","Robert Vince","","5.7","96","2010","adventure, family, fantasy","1479","2010-11-09","http://www.imdb.com/title/tt1544572/"
"10","tt0457939","Sun Nov 15 10:36:22 2015","Sun Nov 15 10:36:22 2015","","The Holiday","Feature Film","Nancy Meyers","","6.9","138","2006","comedy, romance","180655","2006-12-05","http://www.imdb.com/title/tt0457939/"
"11","tt3595848","Mon Nov 10 08:24:59 2014","Mon Nov 10 08:24:59 2014","","Northpole","TV Movie","Douglas Barr","","6.5","81","2014","fantasy","825","2014-11-15","http://www.imdb.com/title/tt3595848/"
"12","tt0137201","Tue Apr 22 08:41:25 2014","Tue Apr 22 08:41:25 2014","","Rudolph the Red-Nosed Reindeer: The Movie","Feature Film","Bill Kowalchuk","","5.7","83","1998","animation, adventure, family, musical, romance","1601","1998-10-16","http://www.imdb.com/title/tt0137201/"
"13","tt0309372","Tue Apr 22 08:42:01 2014","Tue Apr 22 08:42:01 2014","","Blizzard","Feature Film","LeVar Burton","","5.7","93","2003","comedy, family","729","2003-05-15","http://www.imdb.com/title/tt0309372/"
"14","tt1708658","Tue Apr 22 08:44:32 2014","Tue Apr 22 08:44:32 2014","","November Christmas","TV Movie","Robert Harmon","","7.7","96","2010","drama","896","2010-11-28","http://www.imdb.com/title/tt1708658/"
"15","tt0338348","Mon Nov 10 08:23:11 2014","Mon Nov 10 08:23:11 2014","","The Polar Express","Feature Film","Robert Zemeckis","","6.6","100","2004","animation, adventure, family, fantasy","119621","2004-10-21","http://www.imdb.com/title/tt0338348/"
"16","tt1910501","Tue Apr 22 08:43:16 2014","Tue Apr 22 08:43:16 2014","","Annie Claus is Coming to Town","TV Movie","Kevin Connor","","6.2","83","2011","comedy, family, romance","749","2011-12-10","http://www.imdb.com/title/tt1910501/"
"17","tt1431115","Tue Apr 22 08:43:33 2014","Tue Apr 22 08:43:33 2014","","Mrs. Miracle","TV Movie","Michael M. Scott","","6.7","90","2009","comedy, family, fantasy, romance","1644","2009-12-05","http://www.imdb.com/title/tt1431115/"
"18","tt1572008","Tue Apr 22 08:43:52 2014","Tue Apr 22 08:43:52 2014","","A Nanny for Christmas","Feature Film","Michael Feifer","","5.4","90","2010","comedy","1115","2010-11-23","http://www.imdb.com/title/tt1572008/"
"19","tt0385567","Tue Apr 22 08:44:11 2014","Tue Apr 22 08:44:11 2014","","A Boyfriend for Christmas","TV Movie","Kevin Connor","","6.5","90","2004","romance, comedy, drama, family","2009","2004-11-27","http://www.imdb.com/title/tt0385567/"
"20","tt0304669","Tue Apr 22 08:42:57 2014","Tue Apr 22 08:42:57 2014","","The Santa Clause 2","Feature Film","Michael Lembeck","","5.5","104","2002","comedy, family, fantasy","34223","2002-10-27","http://www.imdb.com/title/tt0304669/"
"21","tt2446980","Sat Dec 19 09:42:16 2015","Sat Dec 19 09:42:16 2015","","Joy","Feature Film","David O. Russell","","6.6","124","2015","biography, comedy, drama","68106","2015-12-13","http://www.imdb.com/title/tt2446980/"
"22","tt2325491","Tue Apr 22 08:38:22 2014","Tue Apr 22 08:38:22 2014","","12 Dogs of Christmas: Great Puppy Rescue","Feature Film","Kieth Merrill","","4.9","102","2012","comedy, family","248","2012-10-09","http://www.imdb.com/title/tt2325491/"
"23","tt1446201","Tue Apr 22 08:52:05 2014","Tue Apr 22 08:52:05 2014","","12 Men of Christmas","TV Movie","Arlene Sanford","","5.6","95","2009","comedy, romance","1515","2009-12-05","http://www.imdb.com/title/tt1446201/"
"24","tt1125873","Tue Apr 22 08:34:12 2014","Tue Apr 22 08:34:12 2014","","The Night Before Christmas","Video","Diane Eskenazi","","6.4","48","1994","animation, family","31","1994-10-04","http://www.imdb.com/title/tt1125873/"
