"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0038650","Sat Mar 12 05:01:03 2011","Thu Dec 12 05:56:32 2013","","It's a Wonderful Life","Feature Film","Frank Capra","8.6","130","1946","drama, family, fantasy, romance","271959","1946-12-20","http://www.imdb.com/title/tt0038650/"
"2","tt0095016","Sat Mar 12 05:01:49 2011","Sat Mar 12 05:01:49 2011","","Die Hard","Feature Film","John McTiernan","8.2","131","1988","action, thriller","584909","1988-07-12","http://www.imdb.com/title/tt0095016/"
"3","tt0085334","Sat Mar 12 05:03:13 2011","Sat Mar 12 05:03:13 2011","","A Christmas Story","Feature Film","Bob Clark","8.1","94","1983","comedy, family","104517","1983-11-18","http://www.imdb.com/title/tt0085334/"
"4","tt0044008","Tue Dec 17 02:14:31 2013","Thu Nov 20 02:13:55 2014","+ A Muppet Christmas Carol, A Christmas Carol (2009), A Christmas Carol (1999) (TV Movie)","A Christmas Carol","Feature Film","Brian Desmond-Hurst","8.1","86","1951","drama, fantasy","14810","1951-10-31","http://www.imdb.com/title/tt0044008/"
"5","tt0058536","Sat Mar 12 05:03:43 2011","Sat Mar 12 05:03:43 2011","","Rudolph, the Red-Nosed Reindeer","TV Movie","Larry Roemer","8.1","47","1964","animation, adventure, family, fantasy, musical","16834","1964-12-06","http://www.imdb.com/title/tt0058536/"
"6","tt0097958","Sat Mar 12 05:05:13 2011","Sat Mar 12 05:05:13 2011","","National Lampoon's Christmas Vacation","Feature Film","Jeremiah Chechik","7.6","97","1989","comedy","105156","1989-11-30","http://www.imdb.com/title/tt0097958/"
"7","tt0039628","Sat Jun 11 06:50:06 2011","Fri Nov 14 04:28:36 2014","+ Miracle on 34th Street (1994)","Miracle on 34th Street","Feature Film","George Seaton","7.9","96","1947","comedy, crime, drama, family","29948","1947-05-02","http://www.imdb.com/title/tt0039628/"
"8","tt0099487","Sat Mar 12 05:26:35 2011","Sat Mar 12 05:26:35 2011","","Edward Scissorhands","Feature Film","Tim Burton","7.9","105","1990","fantasy, romance","353711","1990-12-06","http://www.imdb.com/title/tt0099487/"
"9","tt0099785","Sat Mar 12 05:13:56 2011","Fri Nov 14 09:10:19 2014","+ Home Alone 2: Lost in New York (1992)","Home Alone","Feature Film","Chris Columbus","7.5","103","1990","comedy, family","306781","1990-11-10","http://www.imdb.com/title/tt0099785/"
"10","tt0307987","Sat Mar 12 05:02:08 2011","Sat Mar 12 05:02:08 2011","","Bad Santa","Feature Film","Terry Zwigoff","7.1","91","2003","comedy, crime, drama","106958","2003-11-26","http://www.imdb.com/title/tt0307987/"
"11","tt0086465","Sat Mar 12 05:05:52 2011","Sat Mar 12 05:05:52 2011","","Trading Places","Feature Film","John Landis","7.5","116","1983","comedy","101778","1983-06-08","http://www.imdb.com/title/tt0086465/"
"12","tt0096061","Sat Mar 12 05:02:22 2011","Sat Mar 12 05:02:22 2011","","Scrooged","Feature Film","Richard Donner","7.0","101","1988","comedy, drama, fantasy","60872","1988-11-23","http://www.imdb.com/title/tt0096061/"
"13","tt0424205","Sat Mar 12 05:01:39 2011","Sat Mar 12 05:01:39 2011","","Joyeux Noel","Feature Film","Christian Carion","7.8","116","2005","drama, history, music, romance, war","21260","2005-05-16","http://www.imdb.com/title/tt0424205/"
"14","tt0319343","Sat Mar 12 05:06:16 2011","Sat Mar 12 05:06:16 2011","","Elf","Feature Film","Jon Favreau","6.9","97","2003","comedy, family, fantasy, romance","146487","2003-10-09","http://www.imdb.com/title/tt0319343/"
"15","tt0107688","Fri Nov 14 06:35:54 2014","Fri Nov 14 06:35:54 2014","","The Nightmare Before Christmas","Feature Film","Henry Selick","8.0","76","1993","animation, family, fantasy, musical","219406","1993-10-09","http://www.imdb.com/title/tt0107688/"
"16","tt0033045","Sat Mar 12 05:47:40 2011","Sat Mar 12 05:47:40 2011","","The Shop Around the Corner","Feature Film","Ernst Lubitsch","8.1","99","1940","comedy, drama, romance","19772","1940-01-12","http://www.imdb.com/title/tt0033045/"
"17","tt0338434","Sat Mar 12 05:02:37 2011","Sat Mar 12 05:02:37 2011","","Silent Night","TV Movie","Rodney Gibbons","7.8","100","2002","biography, drama, war","1030","2002-12-14","http://www.imdb.com/title/tt0338434/"
"18","tt0059026","Sat Mar 12 05:15:29 2011","Sat Mar 12 05:15:29 2011","","A Charlie Brown Christmas","TV Movie","Bill Melendez","8.4","25","1965","animation, comedy, family","21611","1965-12-09","http://www.imdb.com/title/tt0059026/"
"19","tt0314331","Sat Mar 12 05:48:43 2011","Sat Mar 12 05:48:43 2011","","Love Actually","Feature Film","Richard Curtis","7.7","135","2003","comedy, drama, romance","315910","2003-09-07","http://www.imdb.com/title/tt0314331/"
"20","tt0111070","Sat Mar 12 05:14:41 2011","Fri Nov 14 09:04:35 2014","+ The Santa Clause 2","The Santa Clause","Feature Film","John Pasquin","6.4","97","1994","comedy, drama, family, fantasy","64134","1994-11-11","http://www.imdb.com/title/tt0111070/"
"21","tt0060345","Sat Jun 11 08:04:39 2011","Fri Nov 14 05:30:18 2014","+ How the Grinch Stole Christmas (2000)","How the Grinch Stole Christmas!","TV Movie","Chuck Jones, Ben Washam","8.4","26","1966","animation, comedy, family, fantasy, musical","32280","1966-12-18","http://www.imdb.com/title/tt0060345/"
"22","tt0039502","Sat Mar 12 06:31:45 2011","Sat Mar 12 06:31:45 2011","","It Happened on Fifth Avenue","Feature Film","Roy Del Ruth","7.6","116","1947","comedy, music, romance","1815","1947-04-19","http://www.imdb.com/title/tt0039502/"
"23","tt0087363","Sat Mar 12 05:08:08 2011","Sat Mar 12 05:08:08 2011","","Gremlins","Feature Film","Joe Dante","7.2","106","1984","comedy, fantasy, horror","139535","1984-06-08","http://www.imdb.com/title/tt0087363/"
"24","tt0072424","Sat Mar 12 05:21:07 2011","Sat Mar 12 05:21:07 2011","","The Year Without a Santa Claus","TV Movie","Jules Bass, Arthur Rankin Jr.","7.9","51","1974","animation, comedy, family, fantasy, musical","4775","1974-12-10","http://www.imdb.com/title/tt0072424/"
"25","tt3530002","Thu Nov 26 00:38:40 2015","Thu Nov 26 00:38:40 2015","","The Night Before","Feature Film","Jonathan Levine","6.5","101","2015","comedy","29389","2015-11-20","http://www.imdb.com/title/tt3530002/"
"26","tt0093409","Sun Dec  8 10:02:56 2013","Sun Dec  8 10:02:56 2013","","Lethal Weapon","Feature Film","Richard Donner","7.6","110","1987","action, crime, thriller","188554","1987-03-06","http://www.imdb.com/title/tt0093409/"
"27","tt0338348","Sat Mar 12 05:16:07 2011","Sat Mar 12 05:16:07 2011","","The Polar Express","Feature Film","Robert Zemeckis","6.6","100","2004","animation, adventure, family, fantasy","119621","2004-10-21","http://www.imdb.com/title/tt0338348/"
"28","tt3850590","Mon Oct 26 03:36:05 2015","Wed Dec  9 11:08:42 2015","","Krampus","Feature Film","Michael Dougherty","6.3","98","2015","comedy, fantasy, horror","26903","2015-11-30","http://www.imdb.com/title/tt3850590/"
"29","tt0110955","Thu Dec 12 05:05:06 2013","Thu Dec 12 05:05:06 2013","","The Ref","Feature Film","Ted Demme","6.9","93","1994","comedy, crime, drama","19100","1994-03-11","http://www.imdb.com/title/tt0110955/"
"30","tt0218967","Sat Mar 12 05:10:14 2011","Sat Mar 12 05:10:14 2011","","The Family Man","Feature Film","Brett Ratner","6.7","125","2000","comedy, drama, fantasy, romance","85352","2000-12-12","http://www.imdb.com/title/tt0218967/"
"31","tt0098115","Sun Dec  8 23:23:17 2013","Sun Dec  8 23:23:17 2013","","Prancer","Feature Film","John Hancock","6.3","103","1989","drama, family, fantasy","3114","1989-11-17","http://www.imdb.com/title/tt0098115/"
"32","tt0066327","Sat Mar 12 05:34:14 2011","Sat Mar 12 05:34:14 2011","","Santa Claus Is Comin' to Town","TV Movie","Jules Bass, Arthur Rankin Jr.","7.8","48","1970","animation, family, fantasy, musical","7273","1970-12-14","http://www.imdb.com/title/tt0066327/"
"33","tt0103776","Sat Mar 12 05:38:12 2011","Sat Mar 12 05:38:12 2011","","Batman Returns","Feature Film","Tim Burton","7.0","126","1992","action","212588","1992-06-16","http://www.imdb.com/title/tt0103776/"
"34","tt0114924","Sat Mar 12 05:22:18 2011","Sat Mar 12 05:22:18 2011","","While You Were Sleeping","Feature Film","Jon Turteltaub","6.6","103","1995","comedy, drama, romance","70586","1995-04-21","http://www.imdb.com/title/tt0114924/"
"35","tt0039190","Sat Mar 12 05:46:44 2011","Sat Mar 12 05:46:44 2011","","The Bishop's Wife","Feature Film","Henry Koster","7.6","109","1947","comedy, drama, fantasy, romance","10109","1947-12-09","http://www.imdb.com/title/tt0039190/"
"36","tt0084701","Sat Mar 12 05:35:12 2011","Sat Mar 12 05:35:12 2011","","The Snowman","Short Film","Dianne Jackson, Jimmy T. Murakami","8.2","26","1982","animation, adventure, family, fantasy","8758","1982-12-24","http://www.imdb.com/title/tt0084701/"
"37","tt0047673","Sat Mar 12 05:45:05 2011","Sat Mar 12 05:45:05 2011","","White Christmas","Feature Film","Michael Curtiz","7.6","120","1954","comedy, musical, romance","21175","1954-10-14","http://www.imdb.com/title/tt0047673/"
"38","tt0071222","Sat Mar 12 05:08:27 2011","Sat Mar 12 05:08:27 2011","","Black Christmas","Feature Film","Bob Clark","7.2","98","1974","horror, mystery, thriller","21456","1974-10-11","http://www.imdb.com/title/tt0071222/"
"39","tt0063230","Sat Mar 12 05:25:31 2011","Sat Mar 12 05:25:31 2011","","The Little Drummer Boy","Short Film","Jules Bass, Arthur Rankin Jr.","7.1","25","1968","family, animation","2512","1968-12-19","http://www.imdb.com/title/tt0063230/"
