"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0457939","Sun Oct 21 04:45:44 2012","Sun Oct 21 04:45:44 2012","","The Holiday","Feature Film","Nancy Meyers","6.9","138","2006","comedy, romance","180655","2006-12-05","http://www.imdb.com/title/tt0457939/"
"2","tt0338348","Sun Oct 21 04:46:10 2012","Sun Oct 21 04:46:10 2012","","The Polar Express","Feature Film","Robert Zemeckis","6.6","100","2004","animation, adventure, family, fantasy","119621","2004-10-21","http://www.imdb.com/title/tt0338348/"
"3","tt0107688","Sun Oct 21 04:46:27 2012","Sun Oct 21 04:46:27 2012","","The Nightmare Before Christmas","Feature Film","Henry Selick","8.0","76","1993","animation, family, fantasy, musical","219406","1993-10-09","http://www.imdb.com/title/tt0107688/"
"4","tt0111070","Sun Oct 21 04:46:41 2012","Sun Oct 21 04:46:41 2012","","The Santa Clause","Feature Film","John Pasquin","6.4","97","1994","comedy, drama, family, fantasy","64134","1994-11-11","http://www.imdb.com/title/tt0111070/"
"5","tt0099785","Sun Oct 21 04:47:36 2012","Sun Oct 21 04:47:36 2012","","Home Alone","Feature Film","Chris Columbus","7.5","103","1990","comedy, family","306781","1990-11-10","http://www.imdb.com/title/tt0099785/"
"6","tt0037059","Sun Oct 21 04:47:50 2012","Sun Oct 21 04:47:50 2012","","Meet Me in St. Louis","Feature Film","Vincente Minnelli","7.7","113","1944","comedy, drama, family, musical, romance","14837","1944-11-22","http://www.imdb.com/title/tt0037059/"
"7","tt0356680","Sun Oct 21 04:48:07 2012","Sun Oct 21 04:48:07 2012","","The Family Stone","Feature Film","Thomas Bezucha","6.3","103","2005","comedy, drama, romance","48808","2005-11-26","http://www.imdb.com/title/tt0356680/"
"8","tt0104431","Sun Oct 21 04:48:25 2012","Sun Oct 21 04:48:25 2012","","Home Alone 2: Lost in New York","Feature Film","Chris Columbus","6.6","120","1992","adventure, comedy, family","196841","1992-11-15","http://www.imdb.com/title/tt0104431/"
"9","tt0034862","Sun Oct 21 04:50:09 2012","Sun Oct 21 04:50:09 2012","","Holiday Inn","Feature Film","Mark Sandrich","7.6","100","1942","comedy, drama, musical, romance","8628","1942-08-04","http://www.imdb.com/title/tt0034862/"
"10","tt0047673","Sun Oct 21 04:50:26 2012","Sun Oct 21 04:50:26 2012","","White Christmas","Feature Film","Michael Curtiz","7.6","120","1954","comedy, musical, romance","21175","1954-10-14","http://www.imdb.com/title/tt0047673/"
"11","tt0329737","Sun Oct 21 04:56:04 2012","Sun Oct 21 04:56:04 2012","","It's a Very Merry Muppet Christmas Movie","TV Movie","Kirk R. Thatcher","6.5","100","2002","adventure, comedy, family, musical","2637","2002-11-29","http://www.imdb.com/title/tt0329737/"
"12","tt0116705","Sun Oct 21 04:56:28 2012","Sun Oct 21 04:56:28 2012","","Jingle All the Way","Feature Film","Brian Levant","5.4","89","1996","comedy, family","67899","1996-11-16","http://www.imdb.com/title/tt0116705/"
"13","tt0307987","Sun Oct 21 04:57:58 2012","Sun Oct 21 04:57:58 2012","","Bad Santa","Feature Film","Terry Zwigoff","7.1","91","2003","comedy, crime, drama","106958","2003-11-26","http://www.imdb.com/title/tt0307987/"
"14","tt0110955","Sun Oct 21 04:58:18 2012","Sun Oct 21 04:58:18 2012","","The Ref","Feature Film","Ted Demme","6.9","93","1994","comedy, crime, drama","19100","1994-03-11","http://www.imdb.com/title/tt0110955/"
"15","tt0383534","Sun Oct 21 04:58:43 2012","Sun Oct 21 04:58:43 2012","","Noel","Feature Film","Chazz Palminteri","6.3","96","2004","drama","6839","2004-09-12","http://www.imdb.com/title/tt0383534/"
"16","tt0388419","Sun Oct 21 05:00:02 2012","Sun Oct 21 05:00:02 2012","","Christmas with the Kranks","Feature Film","Joe Roth","5.2","99","2004","comedy, family","27341","2004-11-15","http://www.imdb.com/title/tt0388419/"
"17","tt0314331","Sun Oct 21 05:00:40 2012","Sun Oct 21 05:00:40 2012","","Love Actually","Feature Film","Richard Curtis","7.7","135","2003","comedy, drama, romance","315910","2003-09-07","http://www.imdb.com/title/tt0314331/"
"18","tt0300195","Sun Oct 21 05:02:22 2012","Sun Oct 21 05:02:22 2012","","Mickey's Magical Christmas: Snowed in at the House of Mouse","Video","Tony Craig, Roberts Gannaway","6.6","65","2001","animation, family, adventure, comedy","1670","2001-11-06","http://www.imdb.com/title/tt0300195/"
"19","tt0110527","Sun Oct 21 05:03:57 2012","Sun Oct 21 05:03:57 2012","","Miracle on 34th Street","Feature Film","Les Mayfield","6.4","114","1994","family, fantasy","21175","1994-11-18","http://www.imdb.com/title/tt0110527/"
"20","tt0084555","Sun Oct 21 05:05:31 2012","Sun Oct 21 05:05:31 2012","","Le père Noël est une ordure","Feature Film","Jean-Marie Poiré","7.7","88","1982","comedy","6072","1982-08-25","http://www.imdb.com/title/tt0084555/"
"21","tt0304669","Sun Oct 21 05:09:07 2012","Sun Oct 21 05:09:07 2012","","The Santa Clause 2","Feature Film","Michael Lembeck","5.5","104","2002","comedy, family, fantasy","34223","2002-10-27","http://www.imdb.com/title/tt0304669/"
"22","tt0114924","Sun Oct 21 05:10:04 2012","Sun Oct 21 05:10:04 2012","","While You Were Sleeping","Feature Film","Jon Turteltaub","6.6","103","1995","comedy, drama, romance","70586","1995-04-21","http://www.imdb.com/title/tt0114924/"
