"position","const","created","modified","description","Title","Title type","Directors","jasonforno rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0038650","Fri Oct 19 21:10:24 2012","Fri Oct 19 21:10:24 2012","","It's a Wonderful Life","Feature Film","Frank Capra","10","8.6","130","1946","drama, family, fantasy, romance","271959","1946-12-20","http://www.imdb.com/title/tt0038650/"
"2","tt0059026","Fri Oct 19 21:11:51 2012","Fri Oct 19 21:11:51 2012","","A Charlie Brown Christmas","TV Movie","Bill Melendez","","8.4","25","1965","animation, comedy, family","21611","1965-12-09","http://www.imdb.com/title/tt0059026/"
"3","tt0110367","Fri Oct 19 21:37:29 2012","Fri Oct 19 21:37:29 2012","","Little Women","Feature Film","Gillian Armstrong","9","7.3","115","1994","drama, family, romance","36240","1994-12-21","http://www.imdb.com/title/tt0110367/"
"4","tt0029992","Fri Oct 19 21:13:15 2012","Fri Oct 19 21:13:15 2012","","A Christmas Carol","Feature Film","Edwin L. Marin","","7.5","69","1938","drama, family, fantasy","4267","1938-12-16","http://www.imdb.com/title/tt0029992/"
"5","tt0099785","Fri Oct 19 21:14:47 2012","Fri Oct 19 21:14:47 2012","","Home Alone","Feature Film","Chris Columbus","8","7.5","103","1990","comedy, family","306781","1990-11-10","http://www.imdb.com/title/tt0099785/"
"6","tt0039628","Fri Oct 19 21:15:11 2012","Fri Oct 19 21:15:11 2012","","Miracle on 34th Street","Feature Film","George Seaton","","7.9","96","1947","comedy, crime, drama, family","29948","1947-05-02","http://www.imdb.com/title/tt0039628/"
"7","tt0095016","Fri Oct 19 21:15:25 2012","Fri Oct 19 21:15:25 2012","","Die Hard","Feature Film","John McTiernan","10","8.2","131","1988","action, thriller","584909","1988-07-12","http://www.imdb.com/title/tt0095016/"
"8","tt0085334","Fri Oct 19 21:12:24 2012","Fri Oct 19 21:12:24 2012","","A Christmas Story","Feature Film","Bob Clark","7","8.1","94","1983","comedy, family","104517","1983-11-18","http://www.imdb.com/title/tt0085334/"
"9","tt0034862","Fri Oct 19 21:17:58 2012","Fri Oct 19 21:17:58 2012","","Holiday Inn","Feature Film","Mark Sandrich","","7.6","100","1942","comedy, drama, musical, romance","8628","1942-08-04","http://www.imdb.com/title/tt0034862/"
"10","tt0097958","Fri Oct 19 21:19:21 2012","Fri Oct 19 21:19:21 2012","","National Lampoon's Christmas Vacation","Feature Film","Jeremiah Chechik","8","7.6","97","1989","comedy","105156","1989-11-30","http://www.imdb.com/title/tt0097958/"
"11","tt0033891","Fri Oct 19 21:14:16 2012","Fri Oct 19 21:14:16 2012","","Meet John Doe","Feature Film","Frank Capra","","7.7","122","1941","comedy, drama, romance","9072","1941-03-12","http://www.imdb.com/title/tt0033891/"
"12","tt0037595","Fri Oct 19 21:17:35 2012","Fri Oct 19 21:17:35 2012","","Christmas in Connecticut","Feature Film","Peter Godfrey","","7.5","102","1945","comedy, romance","4754","1945-07-20","http://www.imdb.com/title/tt0037595/"
"13","tt0047673","Fri Oct 19 21:18:08 2012","Fri Oct 19 21:18:08 2012","","White Christmas","Feature Film","Michael Curtiz","7","7.6","120","1954","comedy, musical, romance","21175","1954-10-14","http://www.imdb.com/title/tt0047673/"
"14","tt0104431","Fri Oct 19 21:14:58 2012","Fri Oct 19 21:14:58 2012","","Home Alone 2: Lost in New York","Feature Film","Chris Columbus","","6.6","120","1992","adventure, comedy, family","196841","1992-11-15","http://www.imdb.com/title/tt0104431/"
"15","tt0096061","Fri Oct 19 21:19:52 2012","Fri Oct 19 21:19:52 2012","","Scrooged","Feature Film","Richard Donner","","7.0","101","1988","comedy, drama, fantasy","60872","1988-11-23","http://www.imdb.com/title/tt0096061/"
"16","tt0314331","Fri Oct 19 21:19:01 2012","Fri Oct 19 21:19:01 2012","","Love Actually","Feature Film","Richard Curtis","8","7.7","135","2003","comedy, drama, romance","315910","2003-09-07","http://www.imdb.com/title/tt0314331/"
"17","tt0104940","Fri Oct 19 21:19:40 2012","Fri Oct 19 21:19:40 2012","","The Muppet Christmas Carol","Feature Film","Brian Henson","7","7.7","85","1992","comedy, drama, family, fantasy, musical","33577","1992-12-11","http://www.imdb.com/title/tt0104940/"
"18","tt0307987","Fri Oct 19 21:20:30 2012","Fri Oct 19 21:20:30 2012","","Bad Santa","Feature Film","Terry Zwigoff","","7.1","91","2003","comedy, crime, drama","106958","2003-11-26","http://www.imdb.com/title/tt0307987/"
