"position","const","created","modified","description","Title","Title type","Directors","Geekzrus rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0038650","Thu Nov 17 13:23:15 2011","Thu Nov 17 13:23:15 2011","","It's a Wonderful Life","Feature Film","Frank Capra","","8.6","130","1946","drama, family, fantasy, romance","271959","1946-12-20","http://www.imdb.com/title/tt0038650/"
"2","tt0396517","Thu Nov 17 13:14:43 2011","Thu Nov 17 13:14:43 2011","","Busted: Christmas for Everyone","TV Movie","Adam Kaleta","","7.1","30","2003","adventure, comedy, musical","21","2003-12-23","http://www.imdb.com/title/tt0396517/"
"3","tt2022482","Thu Nov 17 13:15:03 2011","Thu Nov 17 13:15:03 2011","","Nothing for Christmas","Feature Film","Sean Guess","","7.0","94","2011","drama, family","23","2011-02-02","http://www.imdb.com/title/tt2022482/"
"4","tt0107688","Thu Nov 17 13:15:36 2011","Thu Nov 17 13:15:36 2011","","The Nightmare Before Christmas","Feature Film","Henry Selick","","8.0","76","1993","animation, family, fantasy, musical","219406","1993-10-09","http://www.imdb.com/title/tt0107688/"
"5","tt0039628","Thu Nov 17 13:16:09 2011","Thu Nov 17 13:16:09 2011","","Miracle on 34th Street","Feature Film","George Seaton","","7.9","96","1947","comedy, crime, drama, family","29948","1947-05-02","http://www.imdb.com/title/tt0039628/"
"6","tt0047673","Thu Nov 17 13:16:27 2011","Thu Nov 17 13:16:27 2011","","White Christmas","Feature Film","Michael Curtiz","","7.6","120","1954","comedy, musical, romance","21175","1954-10-14","http://www.imdb.com/title/tt0047673/"
"7","tt0369436","Thu Nov 17 13:16:47 2011","Thu Nov 17 13:16:47 2011","","Four Christmases","Feature Film","Seth Gordon","","5.6","88","2008","comedy, drama, romance","48165","2008-11-20","http://www.imdb.com/title/tt0369436/"
"8","tt0356680","Thu Nov 17 13:16:55 2011","Thu Nov 17 13:16:55 2011","","The Family Stone","Feature Film","Thomas Bezucha","","6.3","103","2005","comedy, drama, romance","48808","2005-11-26","http://www.imdb.com/title/tt0356680/"
"9","tt0096061","Thu Nov 17 13:19:12 2011","Thu Nov 17 13:19:12 2011","","Scrooged","Feature Film","Richard Donner","","7.0","101","1988","comedy, drama, fantasy","60872","1988-11-23","http://www.imdb.com/title/tt0096061/"
"10","tt1268799","Thu Nov 17 13:19:38 2011","Thu Nov 17 13:19:38 2011","","A Very Harold & Kumar 3D Christmas","Feature Film","Todd Strauss-Schulson","","6.3","90","2011","adventure, comedy","54534","2011-11-04","http://www.imdb.com/title/tt1268799/"
"11","tt1430607","Thu Nov 17 13:19:57 2011","Thu Nov 17 13:19:57 2011","","Arthur Christmas","Feature Film","Sarah Smith, Barry Cook","","7.1","97","2011","animation, adventure, comedy, family, fantasy","35207","2011-11-11","http://www.imdb.com/title/tt1430607/"
